"","AVG","OBP","SLG","OPS","IS0","X2B_PCT","X3B_PCT","HR_PCT","HR_H","RBI_PCT","RBI_H","R_PA","R_OB","SO_BB","SO_PCT","SB_PCT","SB_FREQ","SH_PCT","SF_PCT","GIDP_PCT"
"1",0.288479954142747,0.354519320914457,0.416068932259022,0.770588253173479,0.127588978116275,0.0487892193711659,0.00501287733177401,0.0173445275831473,0.0699247550964297,0.110876298177741,0.44422022497616,0.110272831394917,0.320923597505903,1.38484164897971,0.107197540972141,0.543517512757689,0.0291179760949281,0.004760760685168,0.00861123012817161,0.0240333777431556
"2",0.229267092687635,0.274034345769334,0.352492231075967,0.626526576845301,0.123225138388332,0.0400101417600662,0.00537075319061086,0.0203913139338527,0.100126224658787,0.0920108138713795,0.446126676590175,0.0967857745978656,0.363961838026814,5.19224811869558,0.220839494066121,0.54174517825396,0.0457168417178213,0.00817288337679603,0.00585210873838832,0.0198230742182829
"3",0.247236366291595,0.316308200901373,0.395035942622475,0.711344143523848,0.147799576330881,0.0417483976214443,0.00459353867919341,0.0262002473410002,0.122008778786771,0.110756929581603,0.513242302436195,0.109579335563691,0.355648673568313,2.26314628708964,0.173119453763035,0.721615554087246,0.0447540962465145,0.00435964130458957,0.00758693849121781,0.0195735892210955
"4",0.251089917338951,0.323229341576478,0.411372793467903,0.734602135044381,0.160282876128952,0.0402128735150375,0.00300458332899379,0.0309715570118279,0.143658935650146,0.122654722422921,0.565269162746065,0.0994610987110022,0.31734745161597,2.10329822175271,0.16682123664504,0.102382786736786,0.0034738333519153,0.00310527970613503,0.00814846111918017,0.0241815557527642
"5",0.242271026763665,0.305340340568635,0.33010464452221,0.635444985090845,0.0878336177585452,0.0352061450572485,0.00370160895417655,0.0114677905106295,0.0550205771661035,0.0875445953530951,0.415199845046961,0.0778609447466793,0.264618287411172,1.79805230819413,0.124833511134806,0.337445595167663,0.0161558699839926,0.00730570114857539,0.00763590239253307,0.0258223674460133
"6",0.27068172814623,0.334905740642453,0.365460860975574,0.700366601618027,0.0947791328293434,0.0384042209303438,0.00787933414468855,0.00965701104913837,0.0414129591650964,0.0789853283634594,0.334921429234418,0.11538456671569,0.356165064416917,1.53099076548279,0.110476257285564,0.614347961684183,0.0576205611897452,0.0129850533238697,0.00578302215872221,0.0170686444857499
"7",0.248996838169949,0.325653080738282,0.468665337829114,0.794318418567396,0.219668499659164,0.0412416781512971,0.00391354790500195,0.0473662005656862,0.220516461455489,0.143046451314838,0.663089975735714,0.125347480959175,0.393875234859681,2.70102623020996,0.225267887177536,0.544488905177051,0.0293859955112917,0.00194066887833659,0.00734404572928865,0.0177520199313734
"8",0.300557847339028,0.391181430318935,0.573415138811905,0.96459656913084,0.272857291472877,0.0480685973743998,0.00447590816056808,0.0572860017702055,0.229627253005515,0.171658776978174,0.684070910460483,0.155600053350511,0.407410499808838,1.48416680200972,0.162846374832002,0.608040019796452,0.0347508658341286,0.000916951202568773,0.00859876337908494,0.0193649400192202
"9",0.288767426678637,0.355558992116808,0.445126342983661,0.800685335100468,0.156358916305024,0.0471290366800915,0.0116567188212204,0.0223454989307582,0.0894989040572392,0.102630584003782,0.406649943858716,0.143588925368871,0.41316955320829,1.82641209609435,0.139112934759514,0.720292199698407,0.103244774972299,0.00618179674191277,0.00619922832872599,0.0137929866747109
"10",0.290919113048284,0.363839645964001,0.486732463141627,0.850572109105628,0.195813350093343,0.0507572273725479,0.00489335241365572,0.0361898545565819,0.145148918688025,0.141266110973726,0.564407719821831,0.131379275836338,0.370773918120916,1.6382391190854,0.141496943693517,0.599186808793597,0.0310277399758617,0.0020043819101547,0.00897354429054691,0.0213407757665239
"11",0.260756421787852,0.322056480465985,0.34858134781698,0.670637828282965,0.0878249260291277,0.0333617053324617,0.00977650603944632,0.00838456947051873,0.0370370246903293,0.0686329618983085,0.298748225608314,0.130506746206311,0.416545608122382,2.04020355171776,0.13839428011309,0.771146790968403,0.213601858221138,0.0119081200700617,0.00486035863907914,0.0123110229071312
"12",0.228369469455366,0.287828582838518,0.291604577969588,0.579433160808106,0.0632351085142213,0.0285840261734721,0.00484875549096637,0.00581645375931542,0.0297409162898667,0.0647770684795135,0.324555587268705,0.0895127909886399,0.323753689514459,1.97089878956776,0.123505586244271,0.591467097083663,0.0543671785177336,0.0188243921681346,0.00525452082196436,0.0187038048964085
