name,yearID,G,AB,R,H,X2B,X3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,PA,X1B,AVG,OBP,SLG,OPS,IS0,X2B_PCT,X3B_PCT,HR_PCT,HR_H,RBI_PCT,RBI_H,R_PA,R_OB,SO_BB,SO_PCT,SB_PCT,SB_FREQ,SH_PCT,SF_PCT,GIDP_PCT,clust_dist
Carlos Beltran,2013,145,554,79,164,30,3,24,84,2,1,38,90,1,1,1,6,12,612,107,0.296,0.339,0.491,0.830,0.195,0.049,0.005,0.039,0.146,0.137,0.512,0.129,0.389,2.368,0.147,0.667,0.010,0.002,0.010,0.020,1.152693372
Justin Turner,2015,126,385,55,113,26,1,16,60,5,2,36,71,1,13,1,4,10,449,70,0.294,0.370,0.491,0.861,0.197,0.058,0.002,0.036,0.142,0.134,0.531,0.122,0.340,1.972,0.158,0.714,0.031,0.002,0.009,0.022,1.188666384
Scooter Gennett,2018,154,584,86,181,30,3,23,92,4,2,42,125,3,4,3,5,14,652,125,0.310,0.357,0.490,0.847,0.180,0.046,0.005,0.035,0.127,0.141,0.508,0.132,0.379,2.976,0.192,0.667,0.018,0.005,0.008,0.021,1.707360311
J. T. Realmuto,2018,125,477,74,132,30,3,21,74,3,2,38,104,0,10,0,4,9,538,78,0.277,0.340,0.484,0.825,0.208,0.056,0.006,0.039,0.159,0.138,0.561,0.138,0.411,2.737,0.193,0.600,0.017,0.000,0.007,0.017,1.834515578
Freddie Freeman,2018,162,618,94,191,44,4,23,98,10,3,76,132,12,7,0,6,11,718,120,0.309,0.388,0.505,0.892,0.196,0.061,0.006,0.032,0.120,0.136,0.513,0.131,0.343,1.737,0.184,0.769,0.036,0.000,0.008,0.015,1.885985718
Mitch Haniger,2018,157,596,90,170,38,4,26,93,8,2,70,148,4,10,0,7,8,691,102,0.285,0.366,0.493,0.859,0.208,0.055,0.006,0.038,0.153,0.135,0.547,0.130,0.360,2.114,0.214,0.800,0.032,0.000,0.010,0.012,1.956822656
Johan Camargo,2018,134,464,63,126,27,1,19,76,1,1,51,108,4,6,0,3,13,537,79,0.272,0.349,0.457,0.806,0.185,0.050,0.002,0.035,0.151,0.142,0.603,0.117,0.344,2.118,0.201,0.500,0.005,0.000,0.006,0.024,2.001636507
Cluster  11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jarrod Dyson,2017,111,346,56,87,13,3,5,30,28,7,28,55,2,10,4,2,3,393,66,0.251,0.324,0.350,0.674,0.098,0.033,0.008,0.013,0.057,0.076,0.345,0.142,0.448,1.964,0.140,0.800,0.224,0.010,0.005,0.008,1.194203902
Scott Podsednik,2006,139,524,86,137,27,6,3,45,40,19,54,96,1,2,8,4,7,599,101,0.261,0.330,0.353,0.684,0.092,0.045,0.010,0.005,0.022,0.075,0.328,0.144,0.446,1.778,0.160,0.678,0.207,0.013,0.007,0.012,1.428900215
Ryne Sandberg,1983,158,633,94,165,25,4,8,48,37,11,51,79,3,3,7,5,8,707,128,0.261,0.316,0.351,0.667,0.090,0.035,0.006,0.011,0.048,0.068,0.291,0.133,0.429,1.549,0.112,0.771,0.169,0.010,0.007,0.011,1.442974348
Julio Cruz,1982,154,549,83,133,22,5,8,49,46,13,57,71,1,3,6,2,6,623,98,0.242,0.316,0.344,0.660,0.102,0.035,0.008,0.013,0.060,0.079,0.368,0.133,0.430,1.246,0.114,0.780,0.238,0.010,0.003,0.010,1.469352557
Tony Womack,2001,125,481,66,128,19,5,3,30,28,7,23,54,2,6,7,1,4,522,101,0.266,0.307,0.345,0.652,0.079,0.036,0.010,0.006,0.023,0.057,0.234,0.126,0.420,2.348,0.103,0.800,0.178,0.013,0.002,0.008,1.480454935
Greg Allen,2018,91,265,36,68,11,3,2,20,21,4,14,58,1,7,4,1,5,296,52,0.257,0.310,0.343,0.654,0.087,0.037,0.010,0.007,0.029,0.068,0.294,0.122,0.404,4.143,0.196,0.840,0.236,0.014,0.003,0.017,2.126675491
Travis Jankowski,2018,117,347,45,90,12,3,4,17,24,7,37,73,0,1,2,0,7,394,71,0.259,0.332,0.346,0.678,0.086,0.030,0.008,0.010,0.044,0.043,0.189,0.114,0.352,1.973,0.185,0.774,0.188,0.005,0.000,0.018,2.446558641
Amed Rosario,2018,154,554,76,142,26,8,9,51,24,11,29,119,4,3,3,3,9,601,99,0.256,0.295,0.381,0.676,0.125,0.043,0.013,0.015,0.063,0.085,0.359,0.126,0.437,4.103,0.198,0.686,0.138,0.005,0.005,0.015,3.00868916
Billy Hamilton,2018,153,504,74,119,16,9,4,29,34,10,46,132,0,1,1,4,1,557,90,0.236,0.299,0.327,0.626,0.091,0.029,0.016,0.007,0.034,0.052,0.244,0.133,0.446,2.870,0.237,0.773,0.205,0.002,0.007,0.002,3.208352276
Mallex Smith,2018,141,480,65,142,27,10,2,40,40,12,47,98,0,8,7,2,11,555,103,0.296,0.367,0.406,0.773,0.110,0.049,0.018,0.004,0.014,0.072,0.282,0.117,0.330,2.085,0.177,0.769,0.203,0.013,0.004,0.020,3.458767051
Cluster  12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Busby,1957,116,362,40,86,12,2,5,23,6,4,24,44,0,0,9,2,6,403,67,0.238,0.284,0.323,0.607,0.086,0.030,0.005,0.012,0.058,0.057,0.267,0.099,0.364,1.833,0.109,0.600,0.055,0.022,0.005,0.015,1.410261489
Andy Allanson,1989,111,323,30,75,9,1,3,17,4,4,23,47,2,4,6,3,7,366,62,0.232,0.289,0.294,0.583,0.062,0.025,0.003,0.008,0.040,0.046,0.227,0.082,0.294,2.043,0.128,0.500,0.039,0.016,0.008,0.019,1.437310032
Jack Brohamer,1972,136,527,49,123,13,2,5,35,3,2,27,46,0,1,9,3,8,575,103,0.233,0.271,0.294,0.565,0.061,0.023,0.003,0.009,0.041,0.061,0.285,0.085,0.325,1.704,0.080,0.600,0.020,0.016,0.005,0.014,1.457114721
Brent Abernathy,2002,117,463,46,112,18,4,2,40,10,4,25,46,0,6,8,2,8,512,88,0.242,0.288,0.311,0.599,0.069,0.035,0.008,0.004,0.018,0.078,0.357,0.090,0.322,1.840,0.090,0.714,0.070,0.016,0.004,0.016,1.460117296
Kevin Stocker,1995,125,412,42,90,14,3,1,32,6,1,43,75,9,9,10,3,7,484,72,0.218,0.304,0.274,0.578,0.056,0.029,0.006,0.002,0.011,0.066,0.356,0.087,0.296,1.744,0.155,0.857,0.042,0.021,0.006,0.014,1.496251529
Alcides Escobar,2018,140,485,54,112,22,3,4,34,8,2,29,74,1,5,8,4,14,545,83,0.231,0.279,0.313,0.593,0.082,0.040,0.006,0.007,0.036,0.062,0.304,0.099,0.370,2.552,0.136,0.800,0.055,0.015,0.007,0.026,1.903248464
Guillermo Heredia,2018,125,292,29,69,14,1,5,19,2,4,32,52,0,4,7,2,4,341,49,0.236,0.318,0.342,0.661,0.106,0.041,0.003,0.015,0.072,0.056,0.275,0.085,0.276,1.625,0.152,0.333,0.019,0.021,0.006,0.012,2.612598665
Christian Vazquez,2018,80,251,24,52,10,0,3,16,4,1,13,41,1,4,1,0,5,274,39,0.207,0.257,0.283,0.540,0.076,0.036,0.000,0.011,0.058,0.058,0.308,0.088,0.348,3.154,0.150,0.800,0.058,0.004,0.000,0.018,3.101613786
Jesus Sucre,2018,73,182,9,38,5,0,1,17,1,0,9,29,2,1,4,2,4,202,32,0.209,0.247,0.253,0.500,0.044,0.025,0.000,0.005,0.026,0.084,0.447,0.045,0.188,3.222,0.144,1.000,0.021,0.020,0.010,0.020,3.995037082
Pedro Severino,2018,70,190,14,32,9,0,2,15,1,0,18,47,4,4,0,1,3,216,21,0.168,0.254,0.247,0.501,0.079,0.042,0.000,0.009,0.063,0.069,0.469,0.065,0.259,2.611,0.218,1.000,0.019,0.000,0.005,0.014,4.655651538
