name,yearID,G,AB,R,H,X2B,X3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,PA,X1B,AVG,OBP,SLG,OPS,IS0,X2B_PCT,X3B_PCT,HR_PCT,HR_H,RBI_PCT,RBI_H,R_PA,R_OB,SO_BB,SO_PCT,SB_PCT,SB_FREQ,SH_PCT,SF_PCT,GIDP_PCT,clust_dist
Orlando Cepeda,1968,157,600,71,149,26,2,16,73,8,6,43,96,13,9,0,4,13,669,105,0.248,0.306,0.378,0.685,0.130,0.039,0.003,0.024,0.107,0.109,0.490,0.106,0.353,2.233,0.143,0.571,0.040,0.000,0.006,0.019,1.21951445
Eric Hinske,2004,155,570,66,140,23,3,15,69,12,8,54,109,2,4,0,6,14,648,99,0.246,0.312,0.375,0.688,0.130,0.035,0.005,0.023,0.107,0.106,0.493,0.102,0.333,2.019,0.168,0.600,0.061,0.000,0.009,0.022,1.245273472
Kevin Reimer,1993,125,437,53,109,22,1,13,60,5,4,30,72,4,5,1,4,12,489,73,0.249,0.303,0.394,0.696,0.144,0.045,0.002,0.027,0.119,0.123,0.550,0.108,0.368,2.400,0.147,0.556,0.035,0.002,0.008,0.025,1.293139191
Brian Dozier,2013,147,558,72,136,33,4,18,66,14,7,51,120,0,6,3,4,14,636,81,0.244,0.312,0.414,0.726,0.170,0.052,0.006,0.028,0.132,0.104,0.485,0.113,0.373,2.353,0.189,0.667,0.073,0.005,0.006,0.022,1.305701299
Marcus Semien,2018,159,632,89,161,35,2,15,70,14,6,61,131,1,1,2,7,12,715,109,0.255,0.318,0.388,0.706,0.133,0.049,0.003,0.021,0.093,0.098,0.435,0.124,0.399,2.148,0.183,0.700,0.063,0.003,0.010,0.017,1.603921161
Brandon Crawford,2018,151,531,63,135,28,2,14,54,4,5,50,122,13,8,0,5,12,606,91,0.254,0.325,0.394,0.719,0.139,0.046,0.003,0.023,0.104,0.089,0.400,0.104,0.326,2.440,0.201,0.444,0.021,0.000,0.008,0.020,1.809808926
Eric Hosmer,2018,157,613,72,155,31,2,18,69,7,4,62,142,10,1,0,1,18,695,104,0.253,0.322,0.398,0.720,0.145,0.045,0.003,0.026,0.116,0.099,0.445,0.104,0.330,2.290,0.204,0.636,0.032,0.000,0.001,0.026,1.955193256
Marwin Gonzalez,2018,145,489,61,121,25,3,16,68,2,3,53,126,3,3,5,2,14,566,77,0.247,0.324,0.409,0.733,0.162,0.044,0.005,0.028,0.132,0.120,0.562,0.108,0.345,2.377,0.223,0.400,0.011,0.009,0.004,0.025,2.027761146
Jason Kipnis,2018,147,530,65,122,28,1,18,75,7,1,60,112,1,7,1,3,5,606,75,0.230,0.315,0.389,0.704,0.158,0.046,0.002,0.030,0.148,0.124,0.615,0.107,0.344,1.867,0.185,0.875,0.037,0.002,0.005,0.008,2.03219891
Cluster  4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Edmonds,2007,117,365,39,92,15,2,12,53,0,2,41,75,2,0,2,3,9,420,63,0.252,0.325,0.403,0.728,0.151,0.036,0.005,0.029,0.130,0.126,0.576,0.093,0.293,1.829,0.179,0.000,0.000,0.005,0.007,0.021,0.980995803
Orestes Destrade,1993,153,569,61,145,20,3,20,87,0,2,58,130,8,3,1,6,17,654,102,0.255,0.324,0.406,0.730,0.151,0.031,0.005,0.031,0.138,0.133,0.600,0.093,0.296,2.241,0.199,0.000,0.000,0.002,0.009,0.026,1.274023027
Ryan Ludwick,2010,136,490,63,123,27,2,17,69,0,4,48,121,0,8,0,5,13,564,77,0.251,0.325,0.418,0.743,0.167,0.048,0.004,0.030,0.138,0.122,0.561,0.112,0.352,2.521,0.215,0.000,0.000,0.000,0.009,0.023,1.423676141
Rico Petrocelli,1973,100,356,44,87,13,1,13,45,0,0,47,64,3,1,1,2,10,417,60,0.244,0.333,0.396,0.729,0.152,0.031,0.002,0.031,0.149,0.108,0.517,0.106,0.326,1.362,0.153,0.000,0.000,0.002,0.005,0.024,1.449945954
Mickey Tettleton,1988,86,283,31,74,11,1,11,37,0,1,28,70,2,2,1,2,9,325,51,0.261,0.330,0.424,0.754,0.163,0.034,0.003,0.034,0.149,0.114,0.500,0.095,0.298,2.500,0.215,0.000,0.000,0.003,0.006,0.028,1.465753835
Matt Wieters,2018,76,235,24,56,8,0,8,30,0,1,30,45,3,3,1,2,5,276,40,0.238,0.330,0.374,0.704,0.136,0.029,0.000,0.029,0.143,0.109,0.536,0.087,0.270,1.500,0.163,0.000,0.000,0.004,0.007,0.018,1.908514164
Yonder Alonso,2018,145,516,64,129,19,0,23,83,0,0,51,123,1,2,0,5,10,584,87,0.250,0.317,0.421,0.738,0.171,0.033,0.000,0.039,0.178,0.142,0.643,0.110,0.352,2.412,0.211,0.000,0.000,0.000,0.009,0.017,1.979082409
Kendrys Morales,2018,130,413,47,103,15,0,21,57,2,3,50,95,5,3,0,5,15,486,67,0.249,0.331,0.438,0.769,0.189,0.031,0.000,0.043,0.204,0.117,0.553,0.097,0.301,1.900,0.195,0.400,0.013,0.000,0.010,0.031,2.2432761
Chris Iannetta,2018,110,299,36,67,13,1,11,36,0,0,50,87,5,7,1,3,13,373,42,0.224,0.345,0.385,0.730,0.161,0.035,0.003,0.029,0.164,0.097,0.537,0.097,0.290,1.740,0.233,0.000,0.000,0.003,0.008,0.035,2.283392003
